# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even       200  5.318788e+00  5.491782e+01  5.318788e+00
  1    0  odd        200  7.641722e-04  2.625897e-04  7.641722e-04
  2    1  even       200  6.243103e-02  2.407676e-01  5.780471e+00
  3    1  odd        200  -3.827461e-03  2.184365e-03  5.872297e+00
  4    2  even       200  4.042847e-02  3.410452e-02  5.192505e+00
  5    2  odd        200  -4.981587e-04  1.668183e-03  5.292974e+00
  0    0  even    874928  5.634798e+00  5.985203e+01  5.634798e+00
  1    0  odd       1154  1.327649e-03  2.777523e-04  1.327649e-03
  2    1  even     40774  4.105250e-02  2.534559e-01  5.667701e+00
  3    1  odd       2560  7.097636e-04  2.463004e-03  5.715832e+00
  4    2  even     15161  4.182493e-02  3.978694e-02  5.631989e+00
  5    2  odd       1506  -1.296003e-03  1.967150e-03  5.875034e+00
  0    0  even     76820  5.623208e+00  5.916570e+01  5.623208e+00
  1    0  odd         91  3.334428e-04  3.566357e-04  3.334428e-04
  2    1  even      2825  4.953631e-02  2.810119e-01  5.908273e+00
  3    1  odd        282  1.687024e-03  2.581689e-03  6.210233e+00
  4    2  even      1059  4.597509e-02  3.925842e-02  6.023825e+00
  5    2  odd        207  -2.502083e-03  1.573824e-03  5.223978e+00
  0    0  even     71576  5.589956e+00  5.881773e+01  5.589956e+00
  1    0  odd        124  -6.589606e-04  4.380433e-04  -6.589606e-04
  2    1  even      3481  3.886931e-02  2.299047e-01  5.676105e+00
  3    1  odd        239  3.812006e-03  2.959323e-03  6.646512e+00
  4    2  even      1305  4.788309e-02  3.635624e-02  5.648811e+00
  5    2  odd        124  2.654385e-03  1.476815e-03  4.108641e+00
  6    3  even      9397  2.662173e-02  7.419084e-03  5.779926e+00
  7    3  odd       1080  2.726872e-04  1.085616e-03  5.253959e+00
  0    0  even     39499  5.613954e+00  5.915461e+01  5.613954e+00
  1    0  odd         97  1.048799e-04  1.730230e-04  1.048799e-04
  2    1  even      1673  3.933904e-02  2.475685e-01  5.657177e+00
  3    1  odd        154  -3.925228e-03  2.274552e-03  4.748525e+00
  4    2  even       627  4.683937e-02  4.875302e-02  6.484743e+00
  5    2  odd         66  4.046290e-03  1.408178e-03  3.495737e+00
  7    3  odd         54  -1.561941e-03  7.674425e-04  3.443594e+00
  8    4  even      3648  1.574205e-02  2.395008e-03  5.857237e+00
  9    4  odd        601  -1.001433e-03  1.167802e-03  6.655433e+00
  9    4  odd        224  2.702367e-03  9.111773e-04  6.102203e+00
  0    0  even     44802  5.608309e+00  5.927751e+01  5.608309e+00
  1    0  odd         50  2.903268e-04  2.857736e-04  2.903268e-04
  2    1  even      2053  4.416091e-02  2.427358e-01  5.878857e+00
  3    1  odd        139  5.029705e-03  2.172803e-03  6.354974e+00
  4    2  even       769  3.764877e-02  4.208365e-02  5.728360e+00
  5    2  odd         81  -9.948451e-05  2.622077e-03  7.339289e+00
  7    3  odd         39  3.101053e-03  1.929707e-03  5.095781e+00
  9    4  odd         16  2.386510e-03  8.070877e-04  7.891754e+00
 10    5  even      1425  6.466300e-03  1.344544e-03  5.914117e+00
 11    5  odd        446  -2.164447e-03  1.023975e-03  5.615326e+00
  5    2  odd          9  -1.131669e-02  1.234492e-03  4.828518e+00
  7    3  odd         12  2.547764e-02  2.418632e-03  1.184011e+01
 11    5  odd        126  -3.636665e-03  1.258928e-03  6.585072e+00
  7    3  odd         11  1.101724e-02  8.697334e-04  7.571544e+00
 11    5  odd         15  1.188746e-03  1.030616e-03  5.092733e+00
  0    0  even     49971  5.646776e+00  5.975572e+01  5.646776e+00
  1    0  odd         78  5.801218e-03  4.246057e-04  5.801218e-03
  2    1  even      2264  4.647649e-02  2.223407e-01  5.482678e+00
  3    1  odd        154  2.202703e-03  2.350785e-03  5.427161e+00
  4    2  even       849  3.298170e-02  3.737513e-02  5.775126e+00
  5    2  odd        106  -2.341660e-03  2.369939e-03  6.013807e+00
  7    3  odd         57  5.537209e-03  1.609881e-03  6.965874e+00
  9    4  odd         36  -3.632086e-03  4.879766e-04  5.825928e+00
 11    5  odd         28  -1.038054e-02  3.812583e-04  3.571141e+00
 12    6  even       558  4.154985e-03  1.065765e-03  5.848486e+00
 13    6  odd        326  -2.388879e-05  1.068933e-03  5.795839e+00
  0    0  even     10951  5.572914e+00  5.961209e+01  5.572914e+00
  1    0  odd         39  8.430619e-04  2.396326e-04  8.430619e-04
  2    1  even       365  -8.113495e-04  2.413916e-01  5.664800e+00
  3    1  odd         31  -1.538859e-03  1.684089e-03  4.090423e+00
  4    2  even       137  3.558661e-02  3.191050e-02  4.617947e+00
  5    2  odd         35  -1.012355e-02  1.672150e-03  4.443331e+00
  7    3  odd         25  7.070349e-03  1.563708e-03  7.062451e+00
 12    6  even        60  8.917236e-03  1.039613e-03  4.935309e+00
 13    6  odd        112  1.282695e-03  8.188594e-04  5.865206e+00
  0    0  even     66535  5.601482e+00  5.916103e+01  5.601482e+00
  1    0  odd        100  1.132325e-03  2.059954e-04  1.132325e-03
  2    1  even      3048  5.176694e-02  2.351057e-01  5.464008e+00
  3    1  odd        209  -3.796099e-03  2.726352e-03  6.550400e+00
  4    2  even      1143  3.630422e-02  3.050660e-02  5.474919e+00
  5    2  odd        132  -3.743083e-03  1.323880e-03  5.321068e+00
  7    3  odd         78  -2.417934e-03  7.677909e-04  5.059198e+00
  9    4  odd         48  -7.035971e-03  1.023054e-03  6.734990e+00
 11    5  odd         32  -5.668662e-04  7.029356e-04  6.468712e+00
 12    6  even        35  8.492606e-03  6.346943e-04  4.502909e+00
 13    6  odd         11  4.982470e-03  7.094842e-04  7.252686e+00
 14    7  even       346  1.202710e-03  9.076122e-04  5.915289e+00
 15    7  odd        238  -6.791691e-04  8.445972e-04  5.315622e+00
  0    0  even     13593  5.553798e+00  5.780927e+01  5.553798e+00
  1    0  odd          7  -1.149593e-02  1.883239e-04  -1.149593e-02
  2    1  even       538  3.901531e-02  2.724163e-01  5.091850e+00
  3    1  odd         56  -1.088806e-02  2.363106e-03  5.249492e+00
  4    2  even       201  6.773384e-02  5.145141e-02  5.928614e+00
  5    2  odd          7  -1.891602e-02  7.852352e-04  4.925711e+00
  7    3  odd          3  4.562182e-02  6.336765e-04  9.789144e+00
  9    4  odd         11  1.655656e-02  1.210627e-03  6.728460e+00
 11    5  odd          2  -2.312180e-02  1.956585e-03  1.854785e+01
 13    6  odd          3  -1.523430e-02  4.641679e-04  6.460042e+00
 14    7  even        85  6.993911e-04  7.894847e-04  6.040876e+00
 15    7  odd         56  2.239591e-03  1.119944e-03  7.412983e+00
  0    0  even       871  5.625741e+00  5.880518e+01  5.625741e+00
  1    0  odd          2  0.000000e+00  0.000000e+00  0.000000e+00
  2    1  even        73  -1.546447e-02  2.013980e-01  3.760710e+00
  3    1  odd          4  -4.517519e-02  4.306332e-03  6.910858e+00
  4    2  even        28  8.918980e-02  3.851089e-02  7.552351e+00
  5    2  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  7    3  odd          3  1.098510e-02  2.212213e-03  1.442611e+01
  9    4  odd          3  -3.320227e-03  2.204782e-05  5.330526e+00
 11    5  odd          2  1.559958e-02  2.433468e-04  6.360962e+00
 12    6  even         1  0.000000e+00  0.000000e+00  0.000000e+00
 15    7  odd         10  -2.242873e-03  1.059984e-03  7.728271e+00
  0    0  even       200  5.589983e+00  5.833162e+01  5.589983e+00
  1    0  odd        200  2.387352e-03  3.369254e-04  2.387352e-03
  2    1  even       200  3.567566e-02  1.649783e-01  5.341931e+00
  3    1  odd        200  7.580345e-04  2.801061e-03  5.638963e+00
  4    2  even       200  2.764282e-02  3.314514e-02  5.850469e+00
  5    2  odd        200  -5.513693e-03  1.683139e-03  5.791151e+00
  0    0  even    226137  5.611997e+00  5.912878e+01  5.611997e+00
  1    0  odd        185  -9.775718e-05  2.920606e-04  -9.775718e-05
  2    1  even      8312  3.573343e-02  2.483019e-01  5.651296e+00
  3    1  odd        585  2.403230e-03  2.485641e-03  5.778064e+00
  4    2  even      2991  4.148321e-02  3.930318e-02  5.680524e+00
  5    2  odd        230  1.387745e-04  1.762789e-03  5.457607e+00
