# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
 12    6  even       277  -1.615015e-02  2.520010e-03  1.717226e+01
 13    6  odd        346  -3.675017e-03  5.748587e-03  1.677450e+01
 14    7  even      1992  -8.147633e-03  7.302665e-04  1.705931e+01
 15    7  odd       2709  -1.060990e-03  1.335003e-03  1.709150e+01
 14    7  even       145  -4.581411e-03  4.716474e-04  1.520536e+01
 15    7  odd        181  3.416025e-03  1.597652e-03  1.843418e+01
  0    0  even    505342  1.767856e+01  1.847310e+02  1.767856e+01
  1    0  odd        843  1.188760e-03  9.318239e-04  1.188760e-03
  2    1  even     31769  -1.056729e-01  1.426819e+00  1.756073e+01
  3    1  odd        805  -1.901683e-03  2.195894e-03  1.698769e+01
  4    2  even     13280  -1.272173e-01  4.771351e-01  1.741189e+01
  5    2  odd        632  -1.092196e-03  2.338042e-03  1.746287e+01
  6    3  even      5189  -1.010345e-01  1.573329e-01  1.716400e+01
  7    3  odd        466  -5.495216e-04  2.411280e-03  1.666267e+01
  8    4  even      1842  -5.514278e-02  4.167246e-02  1.750649e+01
  9    4  odd        329  2.595246e-03  2.385911e-03  1.847991e+01
 11    5  odd        628  -1.383124e-02  1.948922e-02  1.667944e+01
 12    6  even       160  -1.048170e-02  1.924999e-03  1.852853e+01
 13    6  odd        258  -8.098576e-03  5.437519e-03  1.616139e+01
 14    7  even        46  -6.961096e-03  7.855761e-04  1.863688e+01
 15    7  odd        116  1.054812e-03  1.346456e-03  1.737026e+01
 16    8  even       736  -4.365604e-03  1.614297e-04  1.606176e+01
 17    8  odd       1014  -1.777396e-04  2.925970e-04  1.721609e+01
  0    0  even    291660  1.769905e+01  1.845041e+02  1.769905e+01
  1    0  odd        454  2.402517e-03  1.006124e-03  2.402517e-03
  2    1  even     18256  -1.175180e-01  1.452780e+00  1.746177e+01
  3    1  odd        509  5.769664e-03  2.244574e-03  1.726843e+01
  4    2  even      7300  -1.455567e-01  4.764320e-01  1.720663e+01
  5    2  odd        368  1.514736e-03  2.218400e-03  1.750896e+01
  6    3  even      3079  -1.017134e-01  1.640412e-01  1.770050e+01
  7    3  odd        262  1.468241e-04  2.566566e-03  1.705870e+01
  8    4  even      1084  -4.955289e-02  4.382554e-02  1.754599e+01
  9    4  odd        183  5.321902e-03  2.218668e-03  1.747356e+01
 11    5  odd        373  1.225039e-02  2.175303e-02  1.653759e+01
 12    6  even        75  -2.360700e-02  3.496174e-03  1.630319e+01
 13    6  odd        144  -1.184932e-03  4.199256e-03  1.830268e+01
 14    7  even        39  -1.083162e-02  9.855666e-04  1.735260e+01
 15    7  odd         49  5.575832e-03  1.038009e-03  1.843693e+01
 16    8  even        11  -6.681999e-03  7.038688e-04  1.677917e+01
 18    9  even       254  -1.744525e-03  5.090563e-05  1.704206e+01
 19    9  odd        342  4.895285e-04  1.014870e-04  1.703043e+01
  0    0  even     26566  1.760750e+01  1.844096e+02  1.760750e+01
  1    0  odd         48  4.981987e-03  7.124008e-04  4.981987e-03
  2    1  even      1978  -1.531241e-01  1.534034e+00  1.761189e+01
  3    1  odd         60  8.098057e-03  1.510905e-03  1.513651e+01
